,time,P,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,price_per_kwh,dishwasher,ev,freezer,grid export,grid import,heat pump,pv,refrigerator,washing machine,total energy consumption,energy balance
8579,12-23 11:10:00,1324.09125,167.3325,95.981875,2.935,14.51,7.9731250000000005,13.6425,0.0,0.26706,44.824333333333335,1188.6625833333335,189.92741666666666,9612.947916666666,5043.575083333333,1297.5925,12327.952083333332,71.76733333333334,49.15083333333333,2841.9250000000006,7758.57925
8580,12-23 12:10:00,1482.04125,189.45625,107.16625,3.506875,18.12,8.451875,13.78,0.0,0.26706,44.82716666666667,1189.6005833333334,189.94341666666665,9613.442,5044.502416666667,1297.8904166666666,12330.3825,71.78316666666667,49.152499999999996,2843.1972499999997,7761.442916666667
8581,12-23 13:10:00,1679.2762500000001,213.68812499999999,122.6875,4.0275,19.28,8.90875,13.879375,0.0,0.26706,44.83016666666666,1190.5494166666667,189.96016666666665,9613.54075,5045.778333333333,1298.1169166666666,12332.050000000001,71.79191666666667,49.15408333333334,2844.402666666667,7764.287583333335
8582,12-23 14:10:00,1639.93875,215.0575,113.81937500000001,3.741875,17.89,9.225,13.78,0.0,0.26706,44.831500000000005,1190.999,189.97299999999998,9613.626166666667,5046.8102499999995,1298.3349166666667,12333.00975,71.803,49.243083333333324,2845.1845,7766.193833333334
8583,12-23 15:10:00,1227.47625,160.51375,88.518125,2.689375,14.07,9.353125,13.775625,0.0,0.26706,44.832,1191.026,189.98925,9613.636,5047.508833333333,1298.5558333333333,12333.3105,71.81608333333334,49.403166666666664,2845.6223333333332,7767.183333333333
8584,12-23 16:10:00,850.18125,112.326875,63.96875,1.59375,8.2,9.281875,13.831875,0.0,0.26706,44.832,1191.026,190.00125,9613.636,5048.2804166666665,1298.7715833333334,12333.334,71.82308333333334,49.43716666666666,2845.8910833333334,7767.978416666668
8585,12-23 17:10:00,1.70625,0.0,0.885,0.0225,0.045,9.014375,13.8875,0.0,0.26706,44.832,1191.026,190.01658333333333,9613.636,5049.06875,1298.9795,12333.334,71.83541666666666,49.44533333333334,2846.1348333333335,7768.76675
8586,12-23 18:10:00,0.0,0.0,0.0,0.0,0.0,8.53625,14.0525,0.0,0.26706,44.832,1191.026,190.03233333333333,9613.636,5050.3165,1299.4706666666666,12333.334,71.84491666666666,49.44533333333334,2846.6512499999994,7770.0145
8587,12-23 19:10:00,0.0,0.0,0.0,0.0,0.0,8.236875,14.0825,0.0,0.26706,44.832,1191.026,190.04666666666665,9613.636,5051.54,1300.05875,12333.334,71.85708333333334,49.44533333333334,2847.2658333333334,7771.238
8588,12-23 20:10:00,0.0,0.0,0.0,0.0,0.0,8.12875,14.06875,0.0,0.26706,44.832,1191.026,190.06391666666664,9613.636,5052.4963333333335,1300.4369166666665,12333.334,71.86916666666667,49.44533333333334,2847.6733333333336,7772.194333333333
8589,12-23 21:10:00,0.0,0.0,0.0,0.0,0.0,8.000625,13.93125,0.0,0.20458,44.832,1191.026,190.07691666666665,9613.636,5053.409166666667,1300.8146666666667,12333.334,71.87258333333334,49.44533333333334,2848.0674999999997,7773.107166666668
8590,12-23 22:10:00,0.0,0.0,0.0,0.0,0.0,7.99125,13.643125,0.0,0.20458,44.832,1191.026,190.09108333333333,9613.636,5054.4355000000005,1301.1968333333332,12333.334,71.88266666666667,49.44533333333334,2848.4739166666664,7774.1335
8591,12-23 23:10:00,0.0,0.0,0.0,0.0,0.0,8.02375,13.4825,0.0,0.20458,44.832,1191.026,190.10458333333335,9613.636,5055.293083333333,1301.5629166666668,12333.334,71.88991666666666,49.44533333333334,2848.86075,7774.991083333333
8592,12-24 00:10:00,0.0,0.0,0.0,0.0,0.0,7.943125,13.37,0.0,0.20458,44.832,1191.026,190.11758333333333,9613.636,5056.084666666667,1301.9624166666665,12333.334,71.89800000000001,49.44533333333334,2849.281333333333,7775.782666666666
8593,12-24 01:10:00,0.0,0.0,0.0,0.0,0.0,7.8525,13.280000000000001,0.0,0.20458,44.832,1191.026,190.13424999999998,9613.636,5056.863416666666,1302.3449166666667,12333.334,71.908,49.44533333333334,2849.6905,7776.561416666666
8594,12-24 02:10:00,0.0,0.0,0.0,0.0,0.0,7.809375,13.185625,0.0,0.20458,44.832,1191.026,190.14533333333335,9613.636,5057.6973333333335,1302.7490833333334,12333.334,71.91283333333332,49.44533333333334,2850.110583333333,7777.395333333334
8595,12-24 03:10:00,0.0,0.0,0.0,0.0,0.0,7.748125,13.185625,0.0,0.20458,44.832,1191.026,190.16008333333332,9613.636,5058.581666666667,1303.1644166666667,12333.334,71.92441666666666,49.44533333333334,2850.55225,7778.279666666666
8596,12-24 04:10:00,0.0,0.0,0.0,0.0,0.0,7.669375,13.16,0.0,0.20458,44.832,1191.026,190.172,9613.636,5059.37525,1303.582,12333.334,71.932,49.44533333333334,2850.989333333333,7779.07325
