,time,P,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,price_per_kwh
6456,09-26 00:10:00,0.0,0.0,0.0,0.0,0.0,13.63,3.70625,0.0,0.20458
6457,09-26 01:10:00,0.0,0.0,0.0,0.0,0.0,13.348749999999999,3.656875,0.0,0.20458
6458,09-26 02:10:00,0.0,0.0,0.0,0.0,0.0,13.1375,3.595625,0.0,0.20458
6459,09-26 03:10:00,0.0,0.0,0.0,0.0,0.0,12.9825,3.470625,0.0,0.20458
6460,09-26 04:10:00,0.0,0.0,0.0,0.0,0.0,12.818125,3.45625,0.0,0.20458
6461,09-26 05:10:00,0.0,0.0,0.0,0.0,0.0,12.673125,3.44125,0.0,0.20458
6462,09-26 06:10:00,0.0,0.0,0.0,0.0,0.0,12.458125,3.405,0.0,0.20458
6463,09-26 07:10:00,0.0,0.0,0.0,0.0,0.0,12.31875,3.435625,0.0,0.20458
6464,09-26 08:10:00,551.205,67.4775,64.551875,2.38625,11.1,12.8225,3.458125,0.0,0.20458
6465,09-26 09:10:00,1318.5825,169.69125,106.28937499999999,4.66625,20.65,14.009375,3.469375,0.0,0.26706
6466,09-26 10:10:00,1959.98625,256.945625,152.736875,6.820625,29.19,15.341875,3.606875,0.0,0.26706
6467,09-26 11:10:00,2704.16625,367.378125,209.3825,9.51375,36.05,16.460625,3.490625,0.0,0.26706
6468,09-26 12:10:00,2861.4375,388.805625,230.076875,10.14,40.4,17.21375,3.551875,0.0,0.26706
6469,09-26 13:10:00,3097.7925,445.934375,230.3475,10.8,41.5,17.886875,3.733125,0.0,0.26706
6470,09-26 14:10:00,2727.15,376.0575,216.22125,9.528125,39.12,18.409375,3.946875,0.0,0.26706
6471,09-26 15:10:00,2252.57625,287.925625,195.351875,7.928125,33.73,18.786875,4.076875,0.0,0.26706
6472,09-26 16:10:00,2081.52375,279.71875,158.86625,6.851875,26.16,18.806875,4.25,0.0,0.26706
6473,09-26 17:10:00,1365.9525,178.348125,113.415,4.4925,17.17,18.5325,4.15125,0.0,0.26706
6474,09-26 18:10:00,408.36375,58.929375,48.500625,1.6075,7.38,17.98,3.928125,0.0,0.26706
6475,09-26 19:10:00,0.0,0.0,0.0,0.0,0.0,16.96125,3.815625,0.0,0.26706
6476,09-26 20:10:00,0.0,0.0,0.0,0.0,0.0,15.869375,3.844375,0.0,0.26706
6477,09-26 21:10:00,0.0,0.0,0.0,0.0,0.0,15.313125,3.7975,0.0,0.20458
6478,09-26 22:10:00,0.0,0.0,0.0,0.0,0.0,14.813125,3.788125,0.0,0.20458
6479,09-26 23:10:00,0.0,0.0,0.0,0.0,0.0,14.361875,3.90125,0.0,0.20458
6480,09-27 00:10:00,0.0,0.0,0.0,0.0,0.0,14.083124999999999,4.01625,0.0,0.20458
6481,09-27 01:10:00,0.0,0.0,0.0,0.0,0.0,13.8225,4.146875,0.0,0.20458
6482,09-27 02:10:00,0.0,0.0,0.0,0.0,0.0,13.555625,4.259375,0.0,0.20458
6483,09-27 03:10:00,0.0,0.0,0.0,0.0,0.0,13.369375,4.340625,0.0,0.20458
6484,09-27 04:10:00,0.0,0.0,0.0,0.0,0.0,13.2325,4.400625,0.0,0.20458
6485,09-27 05:10:00,0.0,0.0,0.0,0.0,0.0,13.200625,4.40125,0.0,0.20458
6486,09-27 06:10:00,0.0,0.0,0.0,0.0,0.0,13.073125000000001,4.34625,0.0,0.20458
6487,09-27 07:10:00,0.0,0.0,0.0,0.0,0.0,13.053125,4.345625,0.0,0.20458
6488,09-27 08:10:00,569.04375,68.2925,67.505,2.426875,10.87,13.501875,4.505,0.0,0.20458
6489,09-27 09:10:00,1563.94125,194.28,128.678125,5.374375,20.39,14.753125,4.680625,0.0,0.26706
6490,09-27 10:10:00,2388.36,323.906875,166.459375,7.865,28.9,16.059375,4.95,0.0,0.26706
6491,09-27 11:10:00,2885.24625,394.61312499999997,210.6575,9.723125,35.72,17.430625,4.805,0.0,0.26706
6492,09-27 12:10:00,3260.94,457.13687500000003,238.451875,11.109375,40.04,18.370625,4.835625,0.0,0.26706
6493,09-27 13:10:00,3241.5637500000003,456.50375,241.378125,11.140625,41.11,19.015,4.81,0.0,0.26706
6494,09-27 14:10:00,3254.11125,501.71875,202.28375,10.755625,38.73,19.33125,4.81375,0.0,0.26706
6495,09-27 15:10:00,2693.06625,379.909375,193.9125,8.991875,33.35,19.505625,4.7575,0.0,0.26706
6496,09-27 16:10:00,2090.95875,276.6525,162.993125,6.910625,25.78,19.335,4.578125,0.0,0.26706
6497,09-27 17:10:00,1180.18875,141.566875,112.546875,4.071875,16.81,19.03375,4.211875,0.0,0.26706
6498,09-27 18:10:00,365.61,49.68875,48.12125,1.49875,7.04,18.414375,3.749375,0.0,0.26706
6499,09-27 19:10:00,0.0,0.0,0.0,0.0,0.0,17.3825,3.5256250000000002,0.0,0.26706
6500,09-27 20:10:00,0.0,0.0,0.0,0.0,0.0,16.33125,3.594375,0.0,0.26706
6501,09-27 21:10:00,0.0,0.0,0.0,0.0,0.0,15.7075,3.5425,0.0,0.20458
6502,09-27 22:10:00,0.0,0.0,0.0,0.0,0.0,15.28875,3.4825,0.0,0.20458
6503,09-27 23:10:00,0.0,0.0,0.0,0.0,0.0,14.855,3.49125,0.0,0.20458
6504,09-28 00:10:00,0.0,0.0,0.0,0.0,0.0,14.54125,3.439375,0.0,0.20458
6505,09-28 01:10:00,0.0,0.0,0.0,0.0,0.0,14.358125,3.369375,0.0,0.20458
6506,09-28 02:10:00,0.0,0.0,0.0,0.0,0.0,14.111875000000001,3.255,0.0,0.20458
6507,09-28 03:10:00,0.0,0.0,0.0,0.0,0.0,13.858125,3.150625,0.0,0.20458
6508,09-28 04:10:00,0.0,0.0,0.0,0.0,0.0,13.726875,2.935625,0.0,0.20458
6509,09-28 05:10:00,0.0,0.0,0.0,0.0,0.0,13.57,2.8449999999999998,0.0,0.20458
6510,09-28 06:10:00,0.0,0.0,0.0,0.0,0.0,13.336875,2.7325,0.0,0.20458
6511,09-28 07:10:00,0.0,0.0,0.0,0.0,0.0,13.27125,2.9050000000000002,0.0,0.20458
6512,09-28 08:10:00,586.59,73.86937499999999,66.5975,2.446875,10.63,13.55375,3.064375,0.0,0.20458
6513,09-28 09:10:00,1397.625,175.26875,116.69125,4.86875,20.14,14.773125,3.09875,0.0,0.26706
6514,09-28 10:10:00,2257.97625,304.150625,166.555,7.645,28.61,16.084375,3.35375,0.0,0.26706
6515,09-28 11:10:00,2769.05625,367.6175,218.026875,9.555,35.4,17.427500000000002,3.594375,0.0,0.26706
6516,09-28 12:10:00,2897.3137500000003,396.446875,228.8325,10.166875,39.67,18.304375,3.815,0.0,0.26706
6517,09-28 13:10:00,2925.7725,406.511875,230.98625,10.345625,40.72,19.053125,3.895625,0.0,0.26706
6518,09-28 14:10:00,3065.70375,435.790625,228.0825,10.474375,38.33,19.44625,3.940625,0.0,0.26706
6519,09-28 15:10:00,2523.61875,349.484375,189.701875,8.454375,32.96,19.521875,4.0175,0.0,0.26706
6520,09-28 16:10:00,2027.085,263.660625,163.54875,6.721875,25.41,19.37125,3.990625,0.0,0.26706
6521,09-28 17:10:00,1185.06,143.579375,111.87625,4.043125,16.46,19.07125,3.819375,0.0,0.26706
6522,09-28 18:10:00,296.52375,37.641875,44.27125,1.30375,6.69,18.6125,3.521875,0.0,0.26706
